,Name,RA,DEC,Y_flux_aper_3p0,Y_flux_aper_err_3p0,Y_snr_aper_3p0,Y_mag_aper_3p0,Y_magaper_err_3p0,H_flux_aper_3p0,H_flux_aper_err_3p0,H_snr_aper_3p0,H_mag_aper_3p0,H_magaper_err_3p0,K_flux_aper_3p0,K_flux_aper_err_3p0,K_snr_aper_3p0,K_mag_aper_3p0,K_magaper_err_3p0,J_mag_aper_3p0,J_mag_aper_err_3p0,J_flux_aper_3p0,J_flux_aper_err_3p0,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_err_g,flux_err_r,flux_err_z,flux_err_w1,flux_err_w2,ZP_Y,ZP_H,ZP_K,P(6<z<6.5),P(6.5<z<7),P(z>7),RA_star,DEC_star,mag_star,PA,Separation
0,J010513.344-323757.460,16.3055986,-32.6326277,2.7539071216637425,0.20108265284327695,13.695398796086737,21.014801777145006,0.07927744353588032,3.064586693758658,0.43587950918842283,7.030811564105649,20.12819522107218,0.15442544503697558,4.014382329102275,0.41855605920411704,9.59102667569933,19.31572816936214,0.11320333489521472,21.456419,0.1923164427629262,2.6147634161087616,0.4631530169565425,0.013232304,0.07174479,0.6918337,4.687062,2.2191443,0.018378210920971996,0.024126797759930926,0.06637719027136892,0.5243624057435492,1.2362444304390807,23.492,23.768,22.997,5.4926028204946285e-06,0.037189857481010176,0.012943362112470613,16.309197817971437,-32.642341585259544,13.327442169189453,162.67214411730464,36.63270647356875
1,J011226.600-323404.938,18.1108322,-32.5680383,4.586232696630195,0.25484159539258694,17.996405530129575,20.452484784449865,0.06033072565187477,5.260936158179094,0.2810164360592695,18.721097712126358,19.56359242091043,0.05799532812944282,6.886308173202406,0.5168941244217464,13.322473303224667,18.72998386457557,0.08149659451712543,20.649704,0.05830358053527309,5.496907134532846,0.2951816163158608,0.053340916,0.011289129,2.6842613,7.7005854,7.37988,0.02683949681795101,0.03340059138219497,0.12971658390743443,0.5447922478359138,1.2703357502798052,23.502,23.849,22.98,0.7944869701995044,0.9424008443045846,6.393254923597319e-13,18.143361586578525,-32.555319759244036,15.345352172851562,65.1218646025907,108.8015021294938
2,J012837.092-323645.037,22.1545498,-32.6125102,0.23462455137644633,0.23972904563878172,0.978707234875382,23.690941361951214,1.109357493302249,2.210202615658615,0.4519470474947199,4.890401713896442,20.51341977865036,0.2220137052694319,2.648788725378493,0.5041935012877596,5.2535161968831945,19.78613170208773,0.20666847956084627,21.478952,0.16696677570933863,2.5610567380345164,0.39384464116084156,-0.042163756,0.039001055,-0.03545815,3.6232605,4.1523786,0.026785806947126733,0.043246380714822064,0.12698184310367788,0.7927816033024027,1.5906465139819297,23.427,23.828,23.051,4.054045899027955e-21,2.789103655596341e-13,0.028010631150967333,22.156181861945473,-32.61508026688375,18.10651397705078,151.85821789215183,10.492691699981005
3,J020136.749-292737.251,30.40312,-29.4603475,3.312490084264243,0.2420527947725944,13.684990034410825,20.79781353271766,0.0793377417176083,2.4765430596637272,0.3819861761161023,6.483331634784076,20.38731029134012,0.16746578239696808,3.757145343933784,0.6189047016881656,6.0706362929309545,19.40663001018059,0.1788504783299951,21.305284,0.13129114518572108,3.005290095057861,0.3634105379062582,-0.0048662154,0.003096291,1.2223979,4.194902,5.3887596,0.02397281609887868,0.030349342742039365,0.07838111707615983,0.578322032739201,1.3194196790838821,23.435,23.819,23.02,8.588301664034702e-05,0.11031351047279404,0.00013800193940387937,30.402135361615123,-29.452396666276535,15.479671478271484,353.8452183893377,28.788930969414942
4,J021059.493-284423.614,32.7478881,-28.7398929,3.13687055858369,0.1999176682596025,15.690812052241006,20.87553350470023,0.06919566693828709,3.2585905100342196,0.5746822003646711,5.6702478482306296,20.08615052903515,0.19147949680840276,3.8833886511276146,0.6150917082713799,6.313511625837515,19.3611728572728,0.1719702550819492,21.017242,0.1191468580443403,3.918349765302771,0.42999308783168566,-0.009713728,-0.0044621755,2.0837028,5.657071,5.398929,0.026649264734051843,0.03657713952986786,0.07390433883675693,0.5556285623316282,1.2607765794995938,23.431,23.732,22.995,0.019556842104897918,0.032804750173499556,2.724656553219756e-18,32.746331857393955,-28.746092063645513,15.664013862609863,192.41299548842272,22.851201205042354
5,J021604.809-290748.022,34.0200374,-29.130006,3.55863334010603,0.21740838064008516,16.36842760904084,20.72961689187004,0.06633112420391805,3.8800755244782117,0.3664672511413391,10.587782434566694,19.899974552287087,0.10254613857699307,4.325504490459621,0.47469121544841664,9.11224886766345,19.25378308197454,0.11915128971192512,21.151235,0.12662655826426278,3.463426694760336,0.4039303472023129,0.02876937,-0.0029841983,1.1444973,3.5963793,3.1073003,0.025230135606240125,0.03177306800428672,0.08316193727960534,0.5540016060541336,1.2682357575185024,23.435,23.845,23.039,2.2197790405758823e-05,0.08592347517059064,0.0013285442169049773,34.02057177022958,-29.146107182003842,15.775900840759277,178.339690515667,57.98860432694935
6,J022214.666-045140.798,35.5611079,-4.8613329,2.5711088240728435,0.19522451291618212,13.170010188099308,21.076023852836517,0.08244004288920163,1.8340110254204955,0.5429633996090693,3.377780209017723,20.704670144586355,0.32143482925843403,4.798075649654344,0.4318740165970816,11.10989655608461,19.134707272345835,0.09772694095549422,21.107544,0.12636453809674147,3.6056403068878464,0.4196461994415816,-0.0033448753,0.044016335,1.2423682,5.2486777,5.1802955,0.015064756354240637,0.019735030178950595,0.058576524466091386,0.5892038649980943,1.384971974591683,23.547,23.903,23.091,2.3940263433555356e-05,0.027122972244222186,5.197036806880708e-10,35.56428517099439,-4.851432324915348,12.519363403320312,17.732629837658724,37.419932626585265
7,J030216.461-351838.552,45.5685862,-35.310709,2.216831609829957,0.27382609777326894,8.095764530324347,21.25209323642791,0.13411163339685606,1.835566233712299,0.45513264839805384,4.03303573183116,20.71272484999643,0.2692106584102,3.0923744254371717,0.5238008596261365,5.903721554875563,19.617844817724865,0.18390708211187207,21.309778,0.1317856720373628,2.9928765261849017,0.3632726279179297,-0.032535527,0.022306878,0.09364918,2.1287007,1.2986176,0.02442531757466221,0.04080306739174001,0.11009043240321749,0.6830247942431691,1.8144014372702555,23.444,23.852,23.053,1.4977994729253668e-11,1.6207063372953626e-05,0.013878528264535353,45.56905353888619,-35.32186669839446,12.413772583007812,178.04270226067834,40.191166595477846
8,J032321.008-284457.645,50.8375329,-28.7493459,5.826853413600016,0.22191607650511413,26.2570134862029,20.204339768343097,0.041350331229735776,6.049611914700347,0.5858483143767508,10.326242759845046,19.41428121159614,0.10514339339184989,8.772599900516733,0.587700961164923,14.92697899136995,18.48457919357617,0.07273649982262646,20.316145000000002,0.06394835937576193,7.473809088382876,0.4401970086244057,-0.026071098,0.023491068,3.1532242,6.251866,7.20829,0.017814462345048254,0.020209748171491456,0.0643173488885929,0.523334121386436,1.1755268614381893,23.432,23.788,22.843,6.03837928374567e-05,0.0439454038096037,2.486981100489075e-21,50.84361549160996,-28.75109589841816,14.945344924926758,108.16923026012357,20.205212437482878
9,J083503.314+020959.288,128.763809,2.1664688,0.3337738040956155,0.1930644490239282,1.7288206388232976,23.303544378722194,0.6280213113936004,5.81534638291286,0.544470300853245,10.680741215452104,19.45751103006564,0.10165363834369162,7.871647935931382,0.5521567414765016,14.256183696828735,18.59766084554414,0.07615896567043041,21.439697000000002,0.21141988975694273,2.6553464949276395,0.5170621194760177,0.017661123,-0.032894056,-0.061695557,5.7288747,5.7741475,0.03411188854937946,0.06441671062619549,0.17726074636907124,0.6304118844862077,1.7405385616626232,23.518,23.745,22.963,1.4915899852643704e-23,6.905743481256111e-16,0.0275456895150346,128.7641239037584,2.1594434199916472,16.625349044799805,177.4353273603531,25.316726417738046
10,J083627.844+021709.742,129.1160149,2.2860395,2.9822650952753844,0.20073406884521683,14.856795921249255,20.925809386196356,0.07308010492391778,3.0660293186877188,0.44259120367222615,6.927451999155312,20.152509241379082,0.15672951683974382,4.217956624186305,0.49771339720820096,8.474669654957813,19.275069726719757,0.12811546042068517,21.404577,0.20101768674357498,2.742642490184456,0.5077841620509794,0.03776497,0.0100826,0.83684266,4.3804398,6.376028,0.02043674941686239,0.032659473069302364,0.09872331611639887,0.5905922134125328,1.4016371168072932,23.518,23.745,22.963,1.3515480144218916e-05,0.08192123470145533,0.010397700970079507,129.11245698691906,2.2926036321848544,15.656062126159668,331.5605049397155,26.874036870628494
11,J085034.357+021442.754,132.6431542,2.2452094,2.4307293019908403,0.15189658710169426,16.002527432452943,21.145933509100605,0.06784779525240923,2.812567720307074,0.4198460998965059,6.699044533223926,20.24619252980003,0.16207329259768588,4.487057243300032,0.4473588005947316,10.030108354490421,19.197470974879845,0.10824770444997751,21.240415000000002,0.13667634230522305,3.1903181894883104,0.4016086218900852,-0.027217478,0.025785886,0.845622,4.014708,1.9491793,0.023844168402263687,0.039168953822876856,0.08992719343390244,0.5919837697358369,1.400661565208157,23.489,23.752,22.979,3.7805563696376e-05,0.03426323507997617,7.761765262427455e-05,132.63751734679505,2.255838336490846,17.31204605102539,332.0800180735825,43.30478405983823
12,J085135.518-001017.446,132.8979918,-0.1715127,3.527405143792876,0.1782949627263778,19.784098719638227,20.745661640306267,0.05487923509401005,2.731089612407419,0.5449209211532922,5.011900821548993,20.27213512393156,0.2166316220963384,5.078684149085986,0.4809226597522298,10.560292899699323,19.07242198937685,0.10281307678398229,20.868767000000002,0.0794377247665498,4.4925529036518785,0.32869695188893894,-0.034666903,0.01517789,1.7087241,5.0046563,2.844845,0.028735817097738443,0.038711905240183885,0.10513920680380959,0.6001838422424014,1.3829226452661392,23.498,23.886,23.049,2.3841149888406755e-05,0.041092198351954975,1.0917640193295959e-11,132.89448200447058,-0.17599620057575724,18.313159942626953,218.05458802754558,20.497986753135304
